"Node","In_Degree","Out_Degree","Total_Degree","Betweenness","semtype","cui"
"Absence_of_pain_sensation",7,0,7,0,NA,"C0344307"
"Glutamate",0,7,7,0,NA,"C0220839"
"Hydrogen_Peroxide",0,7,7,0,NA,"C0020281"
"Subarachnoid_Hemorrhage",3,4,7,3.01290797841533e-06,NA,"C0038525"
"Molecule",0,7,7,0,NA,"C0567416"
"Noise",0,7,7,0,NA,"C0028263"
"Paraquat",0,7,7,0,NA,"C0030493"
"Platelet_Activating_Factor",0,7,7,0,NA,"C0032172"
"Radiation_therapy",0,7,7,0,NA,"C0034618"
"Serum",0,7,7,0,NA,"C0229671"
"Substance_P",0,7,7,0,NA,"C0038585"
"Tetradecanoylphorbol_Acetate",0,7,7,0,NA,"C0039654"
"Zinc",0,7,7,0,NA,"C0043481"
"galactose",0,7,7,0,NA,"C0016945"
"sorafenib",0,7,7,0,NA,"C1516119"
"neuron_loss",5,1,6,6.34091632145786e-07,NA,"C0598940"
"Ablation",0,6,6,0,NA,"C0547070"
"Hypertensive",6,0,6,0,NA,"C0857121"
"Acids",0,6,6,0,NA,"C0001128"
"Acute_coronary_syndrome",4,2,6,1.1129649474769e-06,NA,"C0948089"
"Administration_Oral",0,6,6,0,NA,"C0001563"
"Myopathy",5,1,6,4.78546563681088e-08,NA,"C0026848"
"Peripheral_Neuropathy",5,1,6,3.99017483389603e-08,NA,"C0031117"
"Myocardial_fibrosis",5,1,6,8.95040565737987e-08,NA,"C0151654"
"Dementia_Vascular",6,0,6,0,NA,"C0011269"
"Nephrotic_Syndrome",4,2,6,0.000142552099904635,NA,"C0027726"
"Antigens",0,6,6,0,NA,"C0003320"
"Hyponatremia",4,2,6,2.63179764346752e-07,NA,"C0020625"
"Asbestos",0,6,6,0,NA,"C0003947"
"Cerebrovascular_Disorders",2,4,6,7.03133986725604e-06,NA,"C0007820"
"Bleomycin",0,6,6,0,NA,"C0005740"
"Cerebral_Hemorrhage",5,1,6,1.39125866615023e-07,NA,"C2937358"
"Blood_Coagulation_Disorders",4,2,6,3.62221198679404e-06,NA,"C0005779"
"Cytokine_Storm",3,3,6,9.83822275213007e-07,NA,"C0919747"
"Pulmonary_Embolism",4,2,6,5.45543422360203e-06,NA,"C0034065"
"Respiratory_Failure",4,2,6,1.35814379379312e-06,NA,"C1145670"
"Diastasis",6,0,6,0,NA,"C0036679"
"Tension",6,0,6,0,NA,"C0233494"
"Capsaicin",0,6,6,0,NA,"C0006931"
"Carcinogens",0,6,6,0,NA,"C0007090"
"Middle_Cerebral_Artery_Occlusion",2,4,6,2.76881554240656e-07,NA,"C0740391"
"Cigarette_smoke",0,6,6,0,NA,"C0239059"
"Renal_Insufficiency",4,2,6,4.59283524727063e-07,NA,"C1565489"
"Rhabdomyolysis",3,3,6,8.42208371115944e-08,NA,"C0035410"
"Intestinal_Obstruction",5,1,6,4.33448996348544e-07,NA,"C0021843"
"Coronary_Occlusion",0,6,6,0,NA,"C0151814"
"Cyclophosphamide",0,6,6,0,NA,"C0010583"
"Hemolytic_Uremic_Syndrome",2,4,6,1.05102930496899e-07,NA,"C0019061"
"DNA",0,6,6,0,NA,"C0012854"
"Denervation",0,6,6,0,NA,"C0011307"
"Hyperhomocysteinemia",3,3,6,1.36448318988438e-06,NA,"C0598608"
"Liver_Cirrhosis",5,1,6,7.85067390184774e-09,NA,"C0023890"
"Glomerulonephritis",1,5,6,6.98389766936525e-08,NA,"C0017658"
"Iron_Overload",2,4,6,2.68986991080103e-07,NA,"C0282193"
"Lupus_Erythematosus_Systemic",3,3,6,1.68881574132129e-07,NA,"C0024141"
"ERCC8_CSH1_HSPA9",0,6,6,0,NA,"1161"
"Erythropoietin_EPO",0,6,6,0,NA,"C0014822"
"Peritonitis",4,2,6,1.6473010572334e-07,NA,"C0031154"
"Hypercholesterolemia_Familial",2,4,6,1.99954963735766e-06,NA,"C0020445"
"Gentamicins",0,6,6,0,NA,"C0017436"
"Intracranial_Hemorrhages",4,2,6,0.000102167649960884,NA,"C0151699"
"Induction",0,6,6,0,NA,"C0857127"
"Injections_Intraperitoneal",0,6,6,0,NA,"C0021493"
"Kainic_Acid",0,6,6,0,NA,"C0022471"
"Hyperalgesia",6,0,6,0,NA,"C0020429"
"Methamphetamine",0,6,6,0,NA,"C0025611"
"NOS3_protein_human_NOS3",0,6,6,0,NA,"C0669365"
"Oxygen",0,6,6,0,NA,"C0030054"
"Spinal_Cord_Injuries",0,6,6,0,NA,"C0037929"
"Thrombin",0,6,6,0,NA,"C0040018"
"Uric_Acid",0,6,6,0,NA,"C0041980"
